"REF_DATE","GEO","DGUID","Destination of electronic orders","Number and value of electronic orders","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499531","5.1.1","3975.5","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499532","5.1.2","8.0","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499533","5.1.3","631760.1","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499534","5.1.4","1272.6","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499535","5.2.1","2078.8","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499536","5.2.2","4.2","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499537","5.2.3","358703.1","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499538","5.2.4","722.5","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499539","5.3.1","1896.7","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499540","5.3.2","3.8","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499541","5.3.3","273057.0","","","","1"
"2007","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499542","5.3.4","550.0","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499543","6.1.1","10935.1","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499544","6.1.2","10.4","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499545","6.1.3","1985954.4","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499546","6.1.4","1879.8","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499547","6.2.1","5443.6","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499548","6.2.2","5.2","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499549","6.2.3","1045907.6","","","","1"
"2007","Alberta","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499550","6.2.4","990.0","","","","1"
"2007","Alberta","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499551","6.3.1","5491.5","","","","1"
"2007","Alberta","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499552","6.3.2","5.2","","","","1"
"2007","Alberta","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499553","6.3.3","940046.8","","","","1"
"2007","Alberta","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499554","6.3.4","889.8","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499555","7.1.1","10980.8","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499556","7.1.2","8.6","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499557","7.1.3","2244309.2","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499558","7.1.4","1753.6","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499559","7.2.1","5155.8","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499560","7.2.2","4.0","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499561","7.2.3","1298267.7","","","","1"
"2007","British Columbia","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499562","7.2.4","1014.4","","","","1"
"2007","British Columbia","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499563","7.3.1","5825.0","","","","1"
"2007","British Columbia","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499564","7.3.2","4.6","","","","1"
"2007","British Columbia","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499565","7.3.3","946041.5","","","","1"
"2007","British Columbia","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499566","7.3.4","739.2","","","","1"
"2009","Canada","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499483","1.1.1","95669.4","","","","1"
"2009","Canada","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499484","1.1.2","9.0","","","","1"
"2009","Canada","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499485","1.1.3","15071062.4","","","","1"
"2009","Canada","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499486","1.1.4","1420.1","","","","1"
"2009","Canada","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499487","1.2.1","54043.7","","","","1"
"2009","Canada","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499488","1.2.2","5.1","","","","1"
"2009","Canada","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499489","1.2.3","9082034.0","","","","1"
"2009","Canada","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499490","1.2.4","855.8","","","","1"
"2009","Canada","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499491","1.3.1","41625.8","","","","1"
"2009","Canada","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499492","1.3.2","3.9","","","","1"
"2009","Canada","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499493","1.3.3","5989028.4","","","","1"
"2009","Canada","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499494","1.3.4","564.3","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499495","2.1.1","5544.7","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499496","2.1.2","7.9","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499497","2.1.3","952138.3","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499498","2.1.4","1361.7","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499499","2.2.1","3274.1","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499500","2.2.2","4.7","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499501","2.2.3","546494.7","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499502","2.2.4","781.6","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499503","2.3.1","2270.6","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499504","2.3.2","3.2","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499505","2.3.3","405643.5","","","","1"
"2009","Atlantic provinces","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499506","2.3.4","580.1","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499507","3.1.1","14591.9","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499508","3.1.2","6.8","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499509","3.1.3","2562611.5","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499510","3.1.4","1197.3","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499511","3.2.1","8114.4","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499512","3.2.2","3.8","","","","1"
